kingdom	phylum	class
seq114259	Plantae	Streptophyta	Zygnemophyceae
seq11427	Chromista	Ciliophora	Spirotrichea
seq11431	Fungi	Chytridiomycota	Chytridiomycetes
seq114334	Chromista	Myzozoa	Dinophyceae
seq114349	Plantae	Chlorophyta	Chlorophyceae
seq114363	Metazoa	Platyhelminthes	Monogenea
seq114365	Metazoa	Nematoda	Chromadorea
seq1144	Chromista	Ochrophyta	Olisthodiscophyceae
seq11440	Chromista	Ciliophora	Colpodea
seq11444	Chromista	Myzozoa	Dinophyceae
seq11448	Metazoa	Nematoda	Chromadorea
seq1145	Plantae	Chlorophyta	Pyramimonadophyceae
seq11455	Fungi	Chytridiomycota	Chytridiomycetes
seq114553	Chromista	Apicomplexa	Conoidasida
seq11457	Chromista	Bacillariophyta	Bacillariophyceae
seq11458	Fungi	Chytridiomycota	Chytridiomycetes
seq114697	Chromista	Bacillariophyta	Bacillariophyceae
seq114817	Plantae	Chlorophyta	Chlorophyceae
seq11484	Chromista	Cryptophyta	Cryptophyceae
seq11486	Chromista	Ciliophora	Spirotrichea
seq1149	Metazoa	Nematoda	Chromadorea
seq11490	Chromista	NA	Bigyra
seq115	Metazoa	Nematoda	Chromadorea
seq1150	Plantae	Chlorophyta	Pyramimonadophyceae
seq115037	Metazoa	Arthropoda	Arachnida
seq115049	Chromista	Cercozoa	Imbricatea
seq11513	Chromista	Ciliophora	Plagiopylea
seq115205	Chromista	Myzozoa	Dinophyceae
seq11521	Chromista	Cryptophyta	Cryptophyceae
seq11530	Chromista	NA	Bigyra
seq115313	Plantae	Chlorophyta	Nephroselmidophyceae
seq11539	Chromista	Ciliophora	Karyorelictea
seq1154	Metazoa	Annelida	Polychaeta
seq11541	Chromista	Ciliophora	Litostomatea
seq11558	Chromista	Ciliophora	Spirotrichea
seq11562	Chromista	Ciliophora	Litostomatea
seq11566	Chromista	Ciliophora	Spirotrichea
seq11571	Fungi	Chytridiomycota	Chytridiomycetes
seq115729	Chromista	Apicomplexa	Conoidasida
seq11579	Chromista	Myzozoa	Dinophyceae
seq115812	Chromista	Ciliophora	Colpodea
seq115813	Chromista	Bacillariophyta	Coscinodiscophyceae
seq115816	Chromista	Myzozoa	Dinophyceae
seq11583	Chromista	NA	Bigyra
seq115873	Chromista	NA	Bigyra
seq115939	Fungi	Ascomycota	Sordariomycetes
seq11598	Protozoa	NA	Choanoflagellata
seq115986	Chromista	Ciliophora	Oligohymenophorea
seq116	Metazoa	Nematoda	Chromadorea
seq1160	Fungi	Chytridiomycota	Chytridiomycetes
seq11600	Chromista	PX clade	Phaeosacciophyceae
seq116027	Plantae	Chlorophyta	Ulvophyceae
seq116028	Fungi	Zoopagomycota	Entomophthoromycetes
seq116035	Chromista	Ochrophyta	Synurophyceae
seq1161	Metazoa	Platyhelminthes	Rhabditophora
seq11619	Chromista	Myzozoa	Dinophyceae
seq11621	Chromista	Bacillariophyta	Bacillariophyceae
seq11622	Chromista	Endomyxa	Ascetosporea
seq11623	Chromista	Ciliophora	Oligohymenophorea
seq11629	Plantae	Rhodophyta	Florideophyceae
seq11635	Metazoa	Platyhelminthes	Trematoda
seq11636	Metazoa	Nematoda	Chromadorea
seq116366	Metazoa	Mollusca	Bivalvia
seq11637	Chromista	Ciliophora	Litostomatea
seq1164	Metazoa	Arthropoda	Hexanauplia
seq11641	Plantae	Streptophyta	Magnoliopsida
seq11644	Chromista	Ciliophora	Heterotrichea
seq116440	Metazoa	Annelida	Polychaeta
seq11646	Chromista	Myzozoa	Dinophyceae
seq11647	Metazoa	Arthropoda	Hexanauplia
seq116509	Chromista	Endomyxa	Phytomyxea
seq11651	Chromista	Ciliophora	Litostomatea
seq1166	Chromista	Ciliophora	Spirotrichea
seq116631	Chromista	NA	Hyphochytriomycetes
seq11668	Metazoa	Platyhelminthes	Rhabditophora
seq116699	Fungi	Ascomycota	Saccharomycetes
seq116700	Metazoa	Arthropoda	Malacostraca
seq11671	Metazoa	Arthropoda	Hexanauplia
seq116772	Chromista	Ciliophora	Nassophorea
seq1168	Chromista	Cercozoa	Imbricatea
seq11681	Chromista	Ciliophora	Plagiopylea
seq116859	Chromista	Ciliophora	Spirotrichea
seq116867	Metazoa	Arthropoda	Arachnida
seq116871	Chromista	Ciliophora	Oligohymenophorea
seq11689	Chromista	Cryptophyta	Cryptophyceae
seq116915	Chromista	Ciliophora	Oligohymenophorea
seq11694	Chromista	Myzozoa	Dinophyceae
seq11695	Chromista	Ciliophora	Heterotrichea
seq11697	Chromista	Bacillariophyta	Coscinodiscophyceae
seq117022	Metazoa	Porifera	Homoscleromorpha
seq11703	Chromista	Myzozoa	Dinophyceae
seq11711	Metazoa	Nemertea	Palaeonemertea
seq117115	Chromista	Bacillariophyta	Coscinodiscophyceae
seq11712	Chromista	NA	Bigyra
seq11715	Metazoa	Platyhelminthes	Trematoda
seq117194	Chromista	Bacillariophyta	Fragilariophyceae
seq117231	Metazoa	Arthropoda	Arachnida
seq117236	Metazoa	Platyhelminthes	Rhabditophora
seq11727	Chromista	Cercozoa	Thecofilosea
seq11729	Chromista	Cryptophyta	Cryptophyceae
seq1173	Chromista	Ciliophora	Spirotrichea
seq11730	Chromista	Cercozoa	Imbricatea
seq11736	Chromista	Cercozoa	Imbricatea
seq1174	Chromista	Cercozoa	Imbricatea
seq11740	Protozoa	NA	Choanoflagellata
seq117475	Chromista	Ciliophora	Armophorea
seq1177	Metazoa	Nematoda	Chromadorea
seq11770	Protozoa	NA	Choanoflagellata
seq11772	Chromista	Ciliophora	Prostomatea
seq117722	Plantae	Chlorophyta	Trebouxiophyceae
seq117723	Chromista	Ciliophora	Oligohymenophorea
seq11773	Chromista	Ciliophora	Spirotrichea
seq117730	Chromista	Myzozoa	Dinophyceae
seq1178	Metazoa	Arthropoda	Hexanauplia
seq117867	Chromista	Ciliophora	Spirotrichea
seq11788	Chromista	Myzozoa	Dinophyceae
seq11789	Chromista	Bacillariophyta	Coscinodiscophyceae
seq1179	Chromista	Cercozoa	Imbricatea
seq11792	Chromista	Cercozoa	Thecofilosea
seq117943	Chromista	Ciliophora	Armophorea
seq117944	Chromista	Ciliophora	Litostomatea
seq11795	Chromista	Cercozoa	Thecofilosea
seq11796	Chromista	Cercozoa	Imbricatea
seq1180	Chromista	Ciliophora	Spirotrichea
seq11807	Metazoa	Mollusca	Bivalvia
seq11810	Chromista	Cercozoa	Imbricatea
seq11815	Chromista	Ciliophora	Litostomatea
seq11816	Chromista	Myzozoa	Dinophyceae
seq1182	Metazoa	Arthropoda	Hexanauplia
seq11823	Chromista	Cercozoa	Thecofilosea
seq118273	Chromista	NA	Bigyra
seq1183	Metazoa	Arthropoda	Hexanauplia
seq11837	Chromista	Ciliophora	Prostomatea
seq11838	Chromista	NA	Bigyra
seq1184	Metazoa	Nematoda	Enoplea
seq11841	Chromista	Ciliophora	Spirotrichea
seq11842	Chromista	Ciliophora	Colpodea
seq11849	Chromista	Cryptophyta	Cryptophyceae
seq1185	Chromista	Myzozoa	Dinophyceae
seq11850	Protozoa	Sulcozoa	Breviatea
seq11851	Metazoa	Arthropoda	Malacostraca
seq118519	Metazoa	Arthropoda	Collembola
seq11852	Chromista	Ciliophora	Spirotrichea
seq118555	Metazoa	Platyhelminthes	Monogenea
seq11856	Metazoa	Platyhelminthes	Trematoda
seq11861	Chromista	Myzozoa	Dinophyceae
seq118661	Fungi	Basidiomycota	Agaricomycetes
seq118683	Chromista	Myzozoa	Dinophyceae
seq11872	Chromista	NA	Bigyra
seq11880	Chromista	Cercozoa	Thecofilosea
seq118822	Chromista	Endomyxa	Ascetosporea
seq11883	Metazoa	Arthropoda	Malacostraca
seq11889	Chromista	Ciliophora	Litostomatea
seq1189	Metazoa	Nematoda	Chromadorea
seq119	Metazoa	Annelida	Polychaeta
seq1190	Metazoa	Platyhelminthes	Rhabditophora
seq11903	Metazoa	Platyhelminthes	Rhabditophora
seq11905	Chromista	Ciliophora	Litostomatea
seq11909	Chromista	Myzozoa	Dinophyceae
seq1191	Plantae	Streptophyta	Charophyceae
seq11910	Plantae	Streptophyta	Magnoliopsida
seq11911	Fungi	Chytridiomycota	Chytridiomycetes
seq11915	Chromista	Ciliophora	Oligohymenophorea
seq1192	Metazoa	Annelida	Polychaeta
seq11925	Chromista	Cercozoa	Chlorarachniophyceae
seq1193	Chromista	Cercozoa	Imbricatea
seq11931	Metazoa	Platyhelminthes	Rhabditophora
seq11933	Chromista	Ciliophora	Prostomatea
seq11934	Chromista	Ciliophora	Litostomatea
seq119457	Chromista	Cercozoa	Thecofilosea
seq119460	Chromista	Ciliophora	Spirotrichea
seq119466	Fungi	Basidiomycota	Atractiellomycetes
seq11949	Metazoa	Nematoda	Chromadorea
seq1195	Metazoa	Cnidaria	Anthozoa
seq119500	Protozoa	Evosea	Variosea
seq119501	Chromista	Ciliophora	Spirotrichea
seq119506	Chromista	Myzozoa	Dinophyceae
seq11951	Chromista	Cercozoa	Chlorarachniophyceae
seq11959	Chromista	Bacillariophyta	Bacillariophyceae
seq1196	Plantae	Rhodophyta	Florideophyceae
seq11963	Chromista	Ciliophora	Oligohymenophorea
seq11964	Chromista	Cryptophyta	Cryptophyceae
seq11965	Chromista	Myzozoa	Dinophyceae
seq119651	Chromista	PX clade	Phaeophyceae
seq119652	Chromista	Myzozoa	Dinophyceae
seq119653	Plantae	Chlorophyta	Ulvophyceae
seq119694	Metazoa	Nematoda	Chromadorea
seq1197	Metazoa	Nematoda	Chromadorea
seq119706	Chromista	Cercozoa	Imbricatea
seq119711	Chromista	Myzozoa	Dinophyceae
seq11976	Metazoa	Platyhelminthes	Trematoda
seq11978	Chromista	Cercozoa	Imbricatea
seq119818	Chromista	Ciliophora	Spirotrichea
seq11982	Chromista	Ciliophora	Spirotrichea
seq11983	Protozoa	NA	Choanoflagellata
seq11984	Chromista	Cryptophyta	Cryptophyceae
seq119850	Protozoa	Evosea	Variosea
seq119854	Metazoa	Arthropoda	Branchiopoda
seq119857	Chromista	Myzozoa	Dinophyceae
seq11987	Chromista	Ciliophora	Heterotrichea
seq1199	Metazoa	Nematoda	Chromadorea
seq119905	Metazoa	Mollusca	Bivalvia
seq11992	Metazoa	Chaetognatha	Sagittoidea
seq11994	Chromista	Myzozoa	Dinophyceae
seq12	Metazoa	Arthropoda	Hexanauplia
seq1200	Chromista	Bacillariophyta	Bacillariophyceae
seq120045	Chromista	Apicomplexa	Conoidasida
seq12007	Chromista	Ciliophora	Heterotrichea
seq120081	Metazoa	Mollusca	Gastropoda
seq12018	Metazoa	Nematoda	Chromadorea
seq120186	Metazoa	Platyhelminthes	Rhabditophora
seq12023	Chromista	Myzozoa	Dinophyceae
seq120304	Chromista	Ciliophora	Spirotrichea
seq12031	Chromista	PX clade	Phaeosacciophyceae
seq12036	Chromista	Heliozoa	Centroplasthelida
seq12040	Chromista	Bacillariophyta	Bacillariophyceae
seq12041	Chromista	Myzozoa	Dinophyceae
seq12044	Chromista	NA	Bigyra
seq12046	Chromista	Myzozoa	Dinophyceae
seq12047	Chromista	Cryptophyta	Cryptophyceae
seq12049	Chromista	Ochrophyta	Pelagophyceae
seq12050	Metazoa	Nematoda	Enoplea
seq120507	Chromista	Myzozoa	Dinophyceae
seq120509	Chromista	Cercozoa	Imbricatea
seq12057	Chromista	Myzozoa	Dinophyceae
seq1206	Fungi	Chytridiomycota	Chytridiomycetes
seq1207	Chromista	Bacillariophyta	Bacillariophyceae
seq12070	Chromista	Heliozoa	Centroplasthelida
seq12071	Protozoa	Choanozoa	Ichthyosporea
seq120715	Chromista	Ciliophora	Karyorelictea
seq12072	Chromista	Cercozoa	Imbricatea
seq12074	Chromista	Myzozoa	Dinophyceae
seq12082	Metazoa	Nematoda	Chromadorea
seq12083	Chromista	Cercozoa	Imbricatea
seq12085	Metazoa	Platyhelminthes	Trematoda
seq12086	Fungi	Ascomycota	Saccharomycetes
seq120869	Chromista	Ciliophora	Litostomatea
seq120886	Chromista	Ciliophora	Litostomatea
seq120887	Chromista	Ciliophora	Heterotrichea
seq12089	Chromista	Ciliophora	Spirotrichea
seq12093	Chromista	Cercozoa	Imbricatea
seq121	Metazoa	Nematoda	Enoplea
seq1210	Chromista	Ciliophora	Spirotrichea
seq12102	Protozoa	Choanozoa	Ichthyosporea
seq12103	Chromista	Cryptophyta	Cryptophyceae
seq121031	Metazoa	Platyhelminthes	Trematoda
seq121041	Metazoa	Nematoda	Chromadorea
seq12105	Chromista	Endomyxa	Ascetosporea
seq12108	Chromista	Ochrophyta	Pelagophyceae
seq1211	Chromista	Myzozoa	Dinophyceae
seq12110	Chromista	Myzozoa	Dinophyceae
seq121109	Metazoa	Platyhelminthes	Cestoda
seq12117	Protozoa	NA	Choanoflagellata
seq121173	Chromista	Cercozoa	Thecofilosea
seq1212	Chromista	Myzozoa	Dinophyceae
seq12122	Metazoa	Platyhelminthes	Rhabditophora
seq12124	Chromista	Ciliophora	Spirotrichea
seq12127	Chromista	Ciliophora	Litostomatea
seq1213	Protozoa	Choanozoa	Ichthyosporea
seq12130	Chromista	Ciliophora	Litostomatea
seq121336	Plantae	Chlorophyta	Nephroselmidophyceae
seq12136	Chromista	NA	Hyphochytriomycetes
seq121379	Chromista	Endomyxa	Phytomyxea
seq12138	Metazoa	Platyhelminthes	Rhabditophora
seq121386	Chromista	Myzozoa	Dinophyceae
seq12139	Chromista	Apicomplexa	Conoidasida
seq121418	Metazoa	Platyhelminthes	Monogenea
seq121425	Metazoa	Nematoda	Chromadorea
seq12158	Chromista	Cercozoa	Imbricatea
seq1216	Chromista	Ciliophora	Oligohymenophorea
seq12162	Chromista	Ciliophora	Spirotrichea
seq12165	Chromista	PX clade	Phaeosacciophyceae
seq1217	Protozoa	Choanozoa	Ichthyosporea
seq12171	Metazoa	Platyhelminthes	Trematoda
seq12173	Chromista	Endomyxa	Ascetosporea
seq12174	Chromista	Cercozoa	Thecofilosea
seq12176	Chromista	Myzozoa	Dinophyceae
seq12178	Metazoa	Nematoda	Chromadorea
seq1218	Metazoa	Platyhelminthes	Rhabditophora
seq12180	Chromista	Cercozoa	Imbricatea
seq12181	Chromista	Ciliophora	Prostomatea
seq12183	Chromista	Ciliophora	Oligohymenophorea
seq12185	Chromista	Bacillariophyta	Bacillariophyceae
seq12192	Metazoa	Platyhelminthes	Rhabditophora
seq12193	Chromista	Ciliophora	Spirotrichea
seq12194	Chromista	Ciliophora	Litostomatea
seq12195	Fungi	Ascomycota	Saccharomycetes
seq121974	Chromista	Ciliophora	Plagiopylea
seq121983	Chromista	Ciliophora	Plagiopylea
seq122	Metazoa	Mollusca	Gastropoda
seq1221	Chromista	Bacillariophyta	Bacillariophyceae
seq12221	Metazoa	Platyhelminthes	Rhabditophora
seq122290	Chromista	NA	Bigyra
seq1223	Metazoa	Arthropoda	Hexanauplia
seq12230	Chromista	NA	Bigyra
seq12232	Metazoa	Platyhelminthes	Rhabditophora
seq12234	Fungi	Chytridiomycota	Chytridiomycetes
seq12237	Chromista	Myzozoa	Dinophyceae
seq1224	Metazoa	Nematoda	Chromadorea
seq12241	Chromista	Ciliophora	Oligohymenophorea
seq122456	Chromista	Myzozoa	Dinophyceae
seq12248	Metazoa	Platyhelminthes	Rhabditophora
seq1225	Plantae	Rhodophyta	Florideophyceae
seq12250	Chromista	Apicomplexa	Conoidasida
seq12252	Chromista	Ciliophora	Oligohymenophorea
seq12261	Chromista	Ciliophora	Litostomatea
seq12264	Metazoa	Annelida	Polychaeta
seq1227	Chromista	Ciliophora	Oligohymenophorea
seq122775	Metazoa	Platyhelminthes	Rhabditophora
seq1228	Chromista	Bacillariophyta	Coscinodiscophyceae
seq12281	Chromista	PX clade	Phaeosacciophyceae
seq122837	Protozoa	Discosea	Flabellinia
seq12285	Fungi	Chytridiomycota	Chytridiomycetes
seq12287	Metazoa	Arthropoda	Collembola
seq122931	Chromista	NA	Bigyra
seq122970	Chromista	NA	Bigyra
seq123	Metazoa	Annelida	Polychaeta
seq12311	Chromista	NA	Hyphochytriomycetes
seq12314	Chromista	Bacillariophyta	Bacillariophyceae
seq1232	Metazoa	Arthropoda	Hexanauplia
seq123216	Fungi	Basidiomycota	Microbotryomycetes
seq123251	Chromista	Cercozoa	Imbricatea
seq123256	Metazoa	Platyhelminthes	Monogenea
seq123266	Chromista	NA	Bigyra
seq1233	Chromista	Heliozoa	Centroplasthelida
seq12330	Chromista	Cryptophyta	Cryptophyceae
seq12338	Metazoa	Mollusca	Bivalvia
seq12339	Chromista	Ciliophora	Spirotrichea
seq1235	Chromista	Bacillariophyta	Bacillariophyceae
seq12351	Chromista	Ochrophyta	Chrysomerophyceae
seq123532	Metazoa	Arthropoda	Arachnida
seq12356	Chromista	Ochrophyta	Chrysophyceae
seq1236	Metazoa	Arthropoda	Hexanauplia
seq12361	Metazoa	Platyhelminthes	Rhabditophora
seq12364	Chromista	Ciliophora	Prostomatea
seq123670	Metazoa	Arthropoda	Insecta
seq12368	Chromista	NA	Bigyra
seq12369	Chromista	Myzozoa	Dinophyceae
seq12371	Metazoa	Platyhelminthes	Trematoda
seq123725	Metazoa	Bryozoa	Gymnolaemata
seq12374	Metazoa	Nematoda	Enoplea
seq12377	Chromista	Apicomplexa	Conoidasida
seq12386	Chromista	Ochrophyta	Chrysomerophyceae
seq1239	Chromista	Myzozoa	Dinophyceae
seq12394	Metazoa	Arthropoda	Hexanauplia
seq12395	Chromista	Bacillariophyta	Mediophyceae
seq12396	Chromista	Myzozoa	Dinophyceae
seq1240	Chromista	Ochrophyta	Synurophyceae
seq12403	Chromista	Ciliophora	Spirotrichea
seq124035	Fungi	Blastocladiomycota	Physodermatomycetes
seq12405	Chromista	Ciliophora	Oligohymenophorea
seq124081	Chromista	NA	Bigyra
seq12409	Metazoa	Arthropoda	Hexanauplia
seq12411	Metazoa	Nematoda	Chromadorea
seq12412	Chromista	Ciliophora	Oligohymenophorea
seq124128	Chromista	NA	Bigyra
seq124134	Chromista	Ciliophora	Litostomatea
seq124148	Chromista	Ciliophora	Litostomatea
seq12416	Chromista	Ciliophora	Spirotrichea
seq1242	Metazoa	Platyhelminthes	Rhabditophora
seq12420	Chromista	Cercozoa	Thecofilosea
seq12421	Chromista	Bacillariophyta	Bacillariophyceae
seq124234	Metazoa	Nematoda	Chromadorea
seq12424	Chromista	Ciliophora	Litostomatea
seq12428	Chromista	Cryptophyta	Cryptophyceae
seq12430	Chromista	Ciliophora	Prostomatea
seq12433	Chromista	Ciliophora	Heterotrichea
seq12435	Metazoa	Nematoda	Enoplea
seq12436	Metazoa	Arthropoda	Collembola
seq124384	Chromista	Apicomplexa	Conoidasida
seq1244	Chromista	Myzozoa	Dinophyceae
seq12444	Chromista	Ciliophora	Colpodea
seq12445	Chromista	Myzozoa	Dinophyceae
seq1245	Metazoa	Nematoda	Enoplea
seq12451	Chromista	Myzozoa	Dinophyceae
seq12452	Chromista	Ciliophora	Litostomatea
seq12456	Chromista	Ciliophora	Spirotrichea
seq1246	Chromista	Ochrophyta	Synurophyceae
seq124622	Chromista	Myzozoa	Dinophyceae
seq124640	Protozoa	Choanozoa	Ichthyosporea
seq12467	Chromista	Ciliophora	Oligohymenophorea
seq12473	Chromista	Ciliophora	Spirotrichea
seq12482	Chromista	Myzozoa	Dinophyceae
seq12487	Chromista	Myzozoa	Dinophyceae
seq12490	Chromista	Bacillariophyta	Bacillariophyceae
seq12492	Chromista	Ciliophora	Spirotrichea
seq12495	Chromista	Cercozoa	Thecofilosea
seq12497	Chromista	Bacillariophyta	Bacillariophyceae
seq1250	Metazoa	Mollusca	Gastropoda
seq12500	Chromista	Cercozoa	Thecofilosea
seq12501	Chromista	Ciliophora	Litostomatea
seq125016	Chromista	Cercozoa	Thecofilosea
seq125031	Chromista	Bacillariophyta	Coscinodiscophyceae
seq125076	Metazoa	Arthropoda	Branchiopoda
seq1251	Plantae	Streptophyta	Charophyceae
seq125119	Plantae	Rhodophyta	Florideophyceae
seq12512	Chromista	Bacillariophyta	Coscinodiscophyceae
seq125121	Chromista	Ciliophora	Litostomatea
seq12514	Metazoa	Platyhelminthes	Rhabditophora
seq125180	Metazoa	Arthropoda	Arachnida
seq12520	Chromista	Ciliophora	Litostomatea
seq12522	Chromista	Ciliophora	Litostomatea
seq12523	Chromista	Myzozoa	Dinophyceae
seq125275	Chromista	Endomyxa	Phytomyxea
seq12531	Chromista	Cryptophyta	Cryptophyceae
seq12532	Chromista	Ciliophora	Colpodea
seq12541	Chromista	Myzozoa	Dinophyceae
seq125413	Metazoa	Platyhelminthes	Trematoda
seq125424	Fungi	Ascomycota	Saccharomycetes
seq12548	Chromista	Cercozoa	Thecofilosea
seq12553	Chromista	Bacillariophyta	Bacillariophyceae
seq1256	Metazoa	Platyhelminthes	Rhabditophora
seq12568	Chromista	Myzozoa	Dinophyceae
seq125689	Chromista	Ciliophora	Karyorelictea
seq1257	Chromista	Myzozoa	Dinophyceae
seq12573	Chromista	Cercozoa	Imbricatea
seq12574	Chromista	Ciliophora	Litostomatea
seq1259	Plantae	Streptophyta	Zygnemophyceae
seq125923	Chromista	Ciliophora	Litostomatea
seq126	Metazoa	Mollusca	Bivalvia
seq1260	Metazoa	Arthropoda	Hexanauplia
seq12601	Chromista	Ciliophora	Oligohymenophorea
seq12604	Chromista	Ciliophora	Oligohymenophorea
seq1261	Chromista	Ciliophora	Spirotrichea
seq12610	Chromista	NA	Bigyra
seq126348	Chromista	Bacillariophyta	Bacillariophyceae
seq12637	Chromista	Ciliophora	Litostomatea
seq12650	Chromista	Ochrophyta	Chrysophyceae
seq12654	Chromista	Cryptophyta	Cryptophyceae
seq126551	Chromista	Bacillariophyta	Bacillariophyceae
seq1266	Chromista	Cercozoa	Imbricatea
seq12663	Fungi	Basidiomycota	Tremellomycetes
seq12666	Chromista	Ciliophora	Litostomatea
seq1267	Chromista	Cercozoa	Imbricatea
seq12670	Fungi	Basidiomycota	Agaricomycetes
seq12673	Metazoa	Nematoda	Chromadorea
seq12682	Chromista	NA	Bigyra
seq12688	Chromista	Ciliophora	Litostomatea
seq1269	Chromista	Ciliophora	Oligohymenophorea
seq126920	Chromista	Ciliophora	Armophorea
seq12694	Chromista	NA	Developea
seq12697	Metazoa	Annelida	Clitellata
seq127168	Protozoa	Sulcozoa	Breviatea
seq12717	Metazoa	Nematoda	Chromadorea
seq12718	Chromista	Bacillariophyta	Bacillariophyceae
seq127188	Chromista	Myzozoa	Dinophyceae
seq1272	Chromista	Ciliophora	Spirotrichea
seq12721	Chromista	Ciliophora	Oligohymenophorea
seq12729	Chromista	Myzozoa	Dinophyceae
seq12730	Metazoa	Bryozoa	Gymnolaemata
seq12733	Fungi	Basidiomycota	Tremellomycetes
seq12738	Metazoa	Nematoda	Chromadorea
seq12739	Chromista	Bacillariophyta	Mediophyceae
seq1274	Metazoa	Annelida	Polychaeta
seq12743	Chromista	Myzozoa	Dinophyceae
seq1275	Metazoa	Mollusca	Gastropoda
seq127529	Fungi	Ascomycota	Saccharomycetes
seq127536	Plantae	Chlorophyta	Chlorophyceae
seq1276	Chromista	Heliozoa	Centroplasthelida
seq127654	Metazoa	Nematoda	Chromadorea
seq12766	Chromista	Bacillariophyta	Fragilariophyceae
seq127660	Metazoa	Arthropoda	Insecta
seq1277	Metazoa	Platyhelminthes	Rhabditophora
seq12770	Metazoa	Platyhelminthes	Trematoda
seq12771	Chromista	Cercozoa	Chlorarachniophyceae
seq1278	Metazoa	Platyhelminthes	Rhabditophora
seq12784	Metazoa	Arthropoda	Hexanauplia
seq127895	Chromista	Bacillariophyta	Bacillariophyceae
seq127907	Fungi	Ascomycota	Pezizomycetes
seq1280	Metazoa	Nematoda	Chromadorea
seq128017	Metazoa	Porifera	Homoscleromorpha
seq128132	Protozoa	Tubulinea	Elardia
seq128150	Chromista	Apicomplexa	Conoidasida
seq128153	Plantae	Rhodophyta	Florideophyceae
seq12826	Chromista	Ciliophora	Oligohymenophorea
seq12829	Chromista	Myzozoa	Dinophyceae
seq1283	Chromista	Ciliophora	Spirotrichea
seq12831	Chromista	Ciliophora	Litostomatea
seq12836	Chromista	Bacillariophyta	Coscinodiscophyceae
seq12838	Chromista	Cercozoa	Imbricatea
seq12847	Chromista	NA	Developea
seq1285	Metazoa	Arthropoda	Hexanauplia
seq12859	Metazoa	Ctenophora	Tentaculata
seq1286	Metazoa	Arthropoda	Hexanauplia
seq128607	Chromista	PX clade	Xanthophyceae
seq128626	Fungi	Chytridiomycota	Chytridiomycetes
seq12863	Chromista	Ciliophora	Oligohymenophorea
seq1287	Chromista	Myzozoa	Dinophyceae
seq128773	Chromista	Myzozoa	Dinophyceae
seq12878	Chromista	Cercozoa	Thecofilosea
seq12886	Chromista	Bacillariophyta	Bacillariophyceae
seq1289	Chromista	Myzozoa	Dinophyceae
seq12892	Chromista	Cercozoa	Imbricatea
seq12894	Chromista	Ciliophora	Heterotrichea
seq12895	Chromista	Ciliophora	Spirotrichea
seq12897	Chromista	Ciliophora	Spirotrichea
seq129	Metazoa	Mollusca	Bivalvia
seq1290	Plantae	Streptophyta	Zygnemophyceae
seq12901	Metazoa	Arthropoda	Collembola
seq12905	Metazoa	Annelida	Polychaeta
seq129056	Chromista	Myzozoa	Dinophyceae
seq12907	Chromista	Ciliophora	Oligohymenophorea
seq12908	Protozoa	Tubulinea	Elardia
seq1291	Fungi	Ascomycota	Dothideomycetes
seq12912	Metazoa	Platyhelminthes	Trematoda
seq1292	Metazoa	Platyhelminthes	Rhabditophora
seq12920	Chromista	Ciliophora	Oligohymenophorea
seq129202	Chromista	Ciliophora	Litostomatea
seq12926	Metazoa	Platyhelminthes	Rhabditophora
seq12930	Chromista	Cercozoa	Imbricatea
seq12931	Metazoa	Nemertea	Palaeonemertea
seq129333	Chromista	Ciliophora	Prostomatea
seq12940	Chromista	Bacillariophyta	Bacillariophyceae
seq129432	Chromista	NA	Bigyra
seq12946	Chromista	Bacillariophyta	Coscinodiscophyceae
seq129466	Chromista	Myzozoa	Dinophyceae
seq129509	Metazoa	Nematoda	Chromadorea
seq129510	Chromista	Apicomplexa	Conoidasida
seq12960	Chromista	Ciliophora	Litostomatea
seq129704	Chromista	Myzozoa	Dinophyceae
seq12974	Chromista	Ciliophora	Litostomatea
seq12976	Fungi	Basidiomycota	Agaricomycetes
seq129794	Metazoa	Nematoda	Chromadorea
seq12982	Chromista	Myzozoa	Dinophyceae
